,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,mean
rtn_8,0.1097885,91.98595,0.10039292,62.140533,9.622618,0.17356913,0.07280812,0.13567592,0.19051583,0.16102703,12.188653,0.006402759,23.056639,24.704182,94.891,0.15096866,0.05882764,76.18503,0.055769227,0.1910054,0.19596183,35.598354,9.571225,100.0,0.07625394,21.664927
rtn_180,0.11842259,0.15400094,0.10609846,59.80225,0.15826096,0.18499687,0.14571214,6.785343,100.0,44.956127,0.12733397,0.20794833,30.695272,0.14932151,79.74399,39.776573,28.784101,0.16351613,0.22529905,0.22433119,87.59218,0.014410454,78.458015,0.040154215,0.051990606,22.346626
rtn_18,0.12044687,42.86666,71.742226,0.0,0.0012543342,0.21800064,0.055311054,27.266254,0.15063074,0.16192141,0.16636002,58.423393,0.12291836,0.112580135,0.18068665,0.0,48.787945,72.987114,48.874157,0.2273733,99.5776,0.15446232,90.14501,0.08752797,0.054619987,22.49938
rtn_7,0.36256966,99.99999,0.15826547,0.13740057,83.10113,0.20184967,70.6154,0.0,0.12772778,0.03114806,0.11054079,61.8863,99.99999,73.18655,0.018266005,0.14140347,0.18001854,0.17906474,2.273357,42.173374,0.017175367,47.581696,0.08832576,0.038370356,0.10055208,23.30842
rtn_17,100.0,0.11718402,0.11599701,0.1283474,0.021120204,0.11091527,24.08648,0.008129748,0.18516412,0.05780927,89.46369,94.615074,72.11461,43.94884,64.596085,0.15935378,1.7223403,0.25317594,90.98359,0.042875748,0.15204796,0.030475779,0.13787436,0.08983199,0.058004066,23.32796
rtn_140,6.8167515,0.16059956,0.04424713,0.0033542076,0.11600467,88.983055,0.17159618,0.06669036,0.13902001,0.18004087,0.6705488,66.140976,12.812911,0.028410202,54.65803,100.0,70.89266,58.95995,0.21482918,82.40039,68.32822,0.014176983,18.297201,0.116387494,0.061089106,25.211086
rtn_6,0.05729562,24.061176,0.10778495,7.9088182,0.09227197,0.19432381,0.15843043,91.58206,55.123615,12.449074,0.13462918,100.0,46.20487,50.265602,27.695444,0.014085078,50.038185,15.61992,0.0034791576,0.17955539,0.22380227,69.04065,0.0565416,80.506645,0.035800945,25.270166
rtn_14,0.10972547,0.113411166,0.024895344,0.86594313,0.094497755,0.0,0.13568832,66.99355,19.413153,0.05572339,0.15109456,0.057062138,0.027430898,74.25304,12.936724,71.59109,0.12910186,77.65926,67.47028,63.273556,0.16515324,100.0,92.32851,0.101711355,0.049336042,25.919994
rtn_40,2.3253412,0.0,80.678375,37.385868,0.15488051,59.23829,0.14570095,0.1174779,53.155327,0.14208362,69.4546,1.5412874,13.416898,0.14242761,0.005044233,64.7255,1.8395731,60.780212,56.011143,100.0,0.13749114,0.13605697,12.140373,46.50728,0.06705174,26.409931
rtn_5,37.429443,0.15258475,69.34896,0.13474926,81.960724,0.1862678,76.24794,0.13029803,71.477394,17.718727,100.0,30.374775,0.19991054,9.915631,0.022234576,19.237715,85.920715,26.65409,16.343866,28.97448,0.17900158,0.07590394,39.31531,15.208428,0.08741387,29.091866
rtn_12,27.70822,0.11545346,0.06729866,46.63811,0.10056856,15.02065,69.70205,0.124950506,0.017969139,0.17389111,15.436131,92.915184,0.18908928,95.888084,55.42019,28.30074,70.66973,0.013557778,69.11665,26.950676,100.00001,0.68167734,0.10174038,13.01165,0.042054966,29.136255
rtn_16,0.09953237,0.13007955,51.29797,86.99863,0.0,0.12777059,0.16939045,0.07945183,0.14953725,0.17396145,59.985146,12.609101,0.20321697,0.16827753,22.584953,94.93551,27.12061,57.068813,77.32844,55.5986,0.099841595,44.767353,87.75043,53.27087,0.055539645,29.31092
rtn_100,98.18985,0.12817083,0.09762305,0.121776655,0.1354526,0.12630977,100.0,0.05331844,0.1532152,0.18955655,86.05581,89.166275,19.537088,0.14732984,33.833782,0.0145619875,0.019811422,18.872868,85.27245,94.3269,47.80027,58.57166,0.0845702,0.14185655,0.05958307,29.324003
rtn_200,10.037338,0.15782829,0.0608337,100.0,0.11723458,100.0,0.13659133,0.11887219,0.14861773,62.708763,72.56726,83.26052,0.17746747,100.0,100.0,48.68013,0.08492922,0.053567532,36.505974,0.17482913,0.023384275,14.548428,0.013677608,17.717455,0.054318503,29.893919
rtn_20,0.059637185,0.10190564,100.0,0.12691261,100.0,94.68699,0.0,92.16764,0.1624261,89.69669,0.11263216,0.16605091,71.35824,0.07318115,0.0,0.07880515,89.74429,42.999664,56.888775,66.96729,0.07008655,0.10061907,0.0,0.12675092,0.03312738,32.22887
rtn_10,11.066733,0.15444827,46.662853,0.12480881,65.10713,0.15788352,0.1274473,0.0431339,0.016692868,0.103322595,71.0977,26.854095,0.008916051,75.01556,0.1679216,0.07675321,89.657166,0.15301053,66.613815,71.91084,0.32968834,62.25605,92.21606,27.198778,100.00001,32.284836
rtn_11,95.20376,0.059945423,44.170067,0.14699145,0.17110826,0.20278539,0.116175294,100.0,25.841331,0.18020083,54.35765,0.0,0.20498568,0.033604164,0.17680416,92.018684,100.0,25.391155,100.0,68.08371,0.17848693,0.1394821,85.51106,41.282513,0.012162203,33.339306
rtn_19,0.09114959,88.59182,0.13718185,0.09253363,2.1737404,0.24490301,17.145866,0.16254376,47.375656,0.0,0.0,0.12930505,65.3813,43.89331,85.65589,71.670654,0.17359146,82.817764,94.55185,5.19161,78.1233,67.68247,100.0,1.2108003,0.08337701,34.103226
